Arabic_date,Date,USD rate,Location,type,Price(retail),MIN,MAX,MEAN
15/7/1443,16-02-2022,86,বরিশাল সদর,পেঁয়াজ - আমদানিকৃত,39.00-40.00,39,40,39.5
15/7/1443,16-02-2022,86,পিরোজপুর সদর,পেঁয়াজ - আমদানিকৃত,44.00-45.00,44,45,44.5
15/7/1443,16-02-2022,86,বান্দরবান সদর,পেঁয়াজ - আমদানিকৃত,45.00-48.00,45,48,46.5
15/7/1443,16-02-2022,86,ব্রাহ্মণবাড়িয়া সদর,পেঁয়াজ - আমদানিকৃত,50.00-52.00,50,52,51
15/7/1443,16-02-2022,86,চাঁদপুর সদর,পেঁয়াজ - আমদানিকৃত,38.00-40.00,38,40,39
15/7/1443,16-02-2022,86,কুমিল্লা সদর,পেঁয়াজ - আমদানিকৃত,48.00-50.00,48,50,49
15/7/1443,16-02-2022,86,খাগড়াছড়ি সদর,পেঁয়াজ - আমদানিকৃত,30.00-32.00,30,32,31
15/7/1443,16-02-2022,86,মৌলভিবাজার সদর,পেঁয়াজ - আমদানিকৃত,44.00-45.00,44,45,44.5
15/7/1443,16-02-2022,86,সুনামগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,30.00-40.00,30,40,35
8/7/1443,09-02-2022,85.96,ঢাকা সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,শেরপুর সদর,পেঁয়াজ (নতুন),24.00-26.00,24,26,25
8/7/1443,09-02-2022,85.96,নরসিংদী সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,মানিকগঞ্জ সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,জামালপুর সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,মাদারিপুর সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,শরিয়তপুর সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,চুয়াডাঙ্গা সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,ঝিনাইদহ সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,মাগুরা সদর,পেঁয়াজ (নতুন),28.00-35.00,28,35,31.5
8/7/1443,09-02-2022,85.96,দিনাজপুর সদর,পেঁয়াজ (নতুন),24.00-25.00,24,25,24.5
8/7/1443,09-02-2022,85.96,নওগাঁ সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,নাটোর সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32,31
8/7/1443,09-02-2022,85.96,নীলফামারী সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,পঞ্চগ্রাম সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35,32.5
8/7/1443,09-02-2022,85.96,ভোলা সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32,31
8/7/1443,09-02-2022,85.96,ঝালকাঠি সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,পিরোজপুর সদর,পেঁয়াজ (নতুন),25.00-26.00,25,26,25.5
8/7/1443,09-02-2022,85.96,বান্দরবান সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,কুমিল্লা সদর,পেঁয়াজ (নতুন),25.00-28.00,25,28,26.5
8/7/1443,09-02-2022,85.96,ফেনী সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40,37.5
8/7/1443,09-02-2022,85.96,লক্ষ্মীপুর সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,নোয়াখালি সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,রাঙ্গামাটি সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,হবিগঞ্জ সদর,পেঁয়াজ (নতুন),26.00-28.00,26,28,27
8/7/1443,09-02-2022,85.96,মৌলভিবাজার সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,সিলেট সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,গাজীপুর সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,ময়মনসিংহ সদর,পেঁয়াজ - দেশী,36.00-38.00,36,38,37
8/7/1443,09-02-2022,85.96,নেত্রকোনা সদর,পেঁয়াজ - দেশী,28.00-29.00,28,29,28.5
8/7/1443,09-02-2022,85.96,ফরিদপুর সদর,পেঁয়াজ - দেশী,27.00-28.00,27,28,27.5
8/7/1443,09-02-2022,85.96,রাজবাড়ী সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,গোপালগঞ্জ সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,নারায়ণগঞ্জ সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,বাগেরহাট সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,যশোর সদর,পেঁয়াজ - দেশী,20.00-25.00,20,25,22.5
8/7/1443,09-02-2022,85.96,কুষ্টিয়া সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,নড়াইল সদর,পেঁয়াজ - দেশী,20.00-22.00,20,22,21
8/7/1443,09-02-2022,85.96,সাতক্ষিরা সদর,পেঁয়াজ - দেশী,32.00-35.00,32,35,33.5
8/7/1443,09-02-2022,85.96,বগুড়া সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
8/7/1443,09-02-2022,85.96,গাইবান্ধা সদর,পেঁয়াজ - দেশী,28.00-32.00,28,32,30
8/7/1443,09-02-2022,85.96,জয়পুরহাট সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
8/7/1443,09-02-2022,85.96,কুড়িগ্রাম সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
8/7/1443,09-02-2022,85.96,লালমনিরহাট সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,নবাবগঞ্জ সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
8/7/1443,09-02-2022,85.96,পাবনা সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,রাজশাহী সদর,পেঁয়াজ - দেশী,32.00-35.00,32,35,33.5
8/7/1443,09-02-2022,85.96,রংপুর মিউনিসিপ্যালিটি মার্কেট,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
8/7/1443,09-02-2022,85.96,বরগুনা সদর,পেঁয়াজ - দেশী,32.00-35.00,32,35,33.5
8/7/1443,09-02-2022,85.96,বরিশাল সদর,পেঁয়াজ - দেশী,28.00-31.00,28,31,29.5
8/7/1443,09-02-2022,85.96,পটুয়াখালি সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
8/7/1443,09-02-2022,85.96,চাঁদপুর সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
8/7/1443,09-02-2022,85.96,চট্টগ্রাম সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36,35.5
8/7/1443,09-02-2022,85.96,কক্সবাজার সদর,পেঁয়াজ - দেশী,28.00-32.00,28,32,30
8/7/1443,09-02-2022,85.96,খাগড়াছড়ি সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,সুনামগঞ্জ সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35,34.5
8/7/1443,09-02-2022,85.96,টাংগাইল সদর বাজার,পেঁয়াজ - দেশী,40.00-50.00,40,50,45
8/7/1443,09-02-2022,85.96,ঢাকা সদর,পেঁয়াজ - আমদানিকৃত,26.00-28.00,26,28,27
8/7/1443,09-02-2022,85.96,শেরপুর সদর,পেঁয়াজ - আমদানিকৃত,25.00-26.00,25,26,25.5
8/7/1443,09-02-2022,85.96,ময়মনসিংহ সদর,পেঁয়াজ - আমদানিকৃত,36.00-40.00,36,40,38
8/7/1443,09-02-2022,85.96,নরসিংদী সদর,পেঁয়াজ - আমদানিকৃত,28.00-30.00,28,30,29
8/7/1443,09-02-2022,85.96,মানিকগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,34.00-36.00,34,36,35
8/7/1443,09-02-2022,85.96,মুনশিগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,48.00-50.00,48,50,49
8/7/1443,09-02-2022,85.96,নেত্রকোনা সদর,পেঁয়াজ - আমদানিকৃত,35.00-36.00,35,36,35.5
8/7/1443,09-02-2022,85.96,চুয়াডাঙ্গা সদর,পেঁয়াজ - আমদানিকৃত,38.00-42.00,38,42,40
8/7/1443,09-02-2022,85.96,খুলনা সদর,পেঁয়াজ - আমদানিকৃত,40.00-50.00,40,50,45
8/7/1443,09-02-2022,85.96,মেহেরপুর সদর,পেঁয়াজ - আমদানিকৃত,28.00-48.00,28,48,38
8/7/1443,09-02-2022,85.96,নড়াইল সদর,পেঁয়াজ - আমদানিকৃত,20.00-25.00,20,25,22.5
8/7/1443,09-02-2022,85.96,সাতক্ষিরা সদর,পেঁয়াজ - আমদানিকৃত,30.00-35.00,30,35,32.5
8/7/1443,09-02-2022,85.96,বগুড়া সদর,পেঁয়াজ - আমদানিকৃত,40.00-45.00,40,45,42.5
8/7/1443,09-02-2022,85.96,রাজশাহী সদর,পেঁয়াজ - আমদানিকৃত,44.00-45.00,44,45,44.5
8/7/1443,09-02-2022,85.96,রংপুর মিউনিসিপ্যালিটি মার্কেট,পেঁয়াজ - আমদানিকৃত,20.00-25.00,20,25,22.5
8/7/1443,09-02-2022,85.96,সিরাজগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,44.00-46.00,44,46,45
8/7/1443,09-02-2022,85.96,বরিশাল সদর,পেঁয়াজ - আমদানিকৃত,39.00-45.00,39,45,42
8/7/1443,09-02-2022,85.96,ভোলা সদর,পেঁয়াজ - আমদানিকৃত,35.00-37.00,35,37,36
8/7/1443,09-02-2022,85.96,ব্রাহ্মণবাড়িয়া সদর,পেঁয়াজ - আমদানিকৃত,45.00-48.00,45,48,46.5
8/7/1443,09-02-2022,85.96,চাঁদপুর সদর,পেঁয়াজ - আমদানিকৃত,45.00-46.00,45,46,45.5
8/7/1443,09-02-2022,85.96,চট্টগ্রাম সদর,পেঁয়াজ - আমদানিকৃত,34.00-35.00,34,35,34.5
8/7/1443,09-02-2022,85.96,কক্সবাজার সদর,পেঁয়াজ - আমদানিকৃত,45.00-50.00,45,50,47.5
8/7/1443,09-02-2022,85.96,লক্ষ্মীপুর সদর,পেঁয়াজ - আমদানিকৃত,25.00-30.00,25,30,27.5
8/7/1443,09-02-2022,85.96,মৌলভিবাজার সদর,পেঁয়াজ - আমদানিকৃত,24.00-26.00,24,26,25
8/7/1443,09-02-2022,85.96,সুনামগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,44.00-45.00,44,45,44.5
8/7/1443,09-02-2022,85.96,সিলেট সদর,পেঁয়াজ - আমদানিকৃত,38.00-40.00,38,40,39
1/7/1443,02-02-2022,85.99,ঢাকা সদর,পেঁয়াজ (নতুন),26.00-28.00,26,28,27
1/7/1443,02-02-2022,85.99,শেরপুর সদর,পেঁয়াজ (নতুন),24.00-26.00,24,26,25
1/7/1443,02-02-2022,85.99,নরসিংদী সদর,পেঁয়াজ (নতুন),26.00-28.00,26,28,27
1/7/1443,02-02-2022,85.99,মানিকগঞ্জ সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,জামালপুর সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,কিশোরগঞ্জ সদর,পেঁয়াজ (নতুন),24.00-26.00,24,26,25
1/7/1443,02-02-2022,85.99,মাদারিপুর সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,শরিয়তপুর সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,বাগেরহাট সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,যশোর সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,কুষ্টিয়া সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,বগুড়া সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,কুড়িগ্রাম সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,লালমনিরহাট সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,নাটোর সদর,পেঁয়াজ (নতুন),24.00-28.00,24,28,26
1/7/1443,02-02-2022,85.99,নীলফামারী সদর,পেঁয়াজ (নতুন),28.00-35.00,28,35,31.5
1/7/1443,02-02-2022,85.99,বরগুনা সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32,31
1/7/1443,02-02-2022,85.99,বরিশাল সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,ঝালকাঠি সদর,পেঁয়াজ (নতুন),25.00-26.00,25,26,25.5
1/7/1443,02-02-2022,85.99,পটুয়াখালি সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,চাঁদপুর সদর,পেঁয়াজ (নতুন),25.00-26.00,25,26,25.5
1/7/1443,02-02-2022,85.99,কুমিল্লা সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40,37.5
1/7/1443,02-02-2022,85.99,ফেনী সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32,31
1/7/1443,02-02-2022,85.99,খাগড়াছড়ি সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,লক্ষ্মীপুর সদর,পেঁয়াজ (নতুন),24.00-28.00,24,28,26
1/7/1443,02-02-2022,85.99,নোয়াখালি সদর,পেঁয়াজ (নতুন),26.00-28.00,26,28,27
1/7/1443,02-02-2022,85.99,রাঙ্গামাটি সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35,32.5
1/7/1443,02-02-2022,85.99,সুনামগঞ্জ সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,টাংগাইল সদর বাজার,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,গাজীপুর সদর,পেঁয়াজ - দেশী,24.00-28.00,24,28,26
1/7/1443,02-02-2022,85.99,ময়মনসিংহ সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40,39
1/7/1443,02-02-2022,85.99,নেত্রকোনা সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,ফরিদপুর সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,রাজবাড়ী সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,গোপালগঞ্জ সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,নারায়ণগঞ্জ সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,চুয়াডাঙ্গা সদর,পেঁয়াজ - দেশী,20.00-25.00,20,25,22.5
1/7/1443,02-02-2022,85.99,খুলনা সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,মেহেরপুর সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,নড়াইল সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
1/7/1443,02-02-2022,85.99,সাতক্ষিরা সদর,পেঁয়াজ - দেশী,34.00-36.00,34,36,35
1/7/1443,02-02-2022,85.99,দিনাজপুর সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,গাইবান্ধা সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
1/7/1443,02-02-2022,85.99,জয়পুরহাট সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,নওগাঁ সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,নবাবগঞ্জ সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,পঞ্চগ্রাম সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
1/7/1443,02-02-2022,85.99,রংপুর মিউনিসিপ্যালিটি মার্কেট,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,সিরাজগঞ্জ সদর,পেঁয়াজ - দেশী,27.00-30.00,27,30,28.5
1/7/1443,02-02-2022,85.99,ভোলা সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,বান্দরবান সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
1/7/1443,02-02-2022,85.99,ব্রাহ্মণবাড়িয়া সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36,35.5
1/7/1443,02-02-2022,85.99,চট্টগ্রাম সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,কক্সবাজার সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,হবিগঞ্জ সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35,34.5
1/7/1443,02-02-2022,85.99,মৌলভিবাজার সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
1/7/1443,02-02-2022,85.99,সিলেট সদর,পেঁয়াজ - দেশী,40.00-50.00,40,50,45
1/7/1443,02-02-2022,85.99,ঢাকা সদর,পেঁয়াজ - আমদানিকৃত,24.00-25.00,24,25,24.5
1/7/1443,02-02-2022,85.99,শেরপুর সদর,পেঁয়াজ - আমদানিকৃত,25.00-26.00,25,26,25.5
1/7/1443,02-02-2022,85.99,ময়মনসিংহ সদর,পেঁয়াজ - আমদানিকৃত,34.00-36.00,34,36,35
1/7/1443,02-02-2022,85.99,নরসিংদী সদর,পেঁয়াজ - আমদানিকৃত,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,মানিকগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,36.00-38.00,36,38,37
1/7/1443,02-02-2022,85.99,মুনশিগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,45.00-48.00,45,48,46.5
1/7/1443,02-02-2022,85.99,নেত্রকোনা সদর,পেঁয়াজ - আমদানিকৃত,35.00-36.00,35,36,35.5
1/7/1443,02-02-2022,85.99,বাগেরহাট সদর,পেঁয়াজ - আমদানিকৃত,38.00-40.00,38,40,39
1/7/1443,02-02-2022,85.99,ঝিনাইদহ সদর,পেঁয়াজ - আমদানিকৃত,40.00-50.00,40,50,45
1/7/1443,02-02-2022,85.99,মাগুরা সদর,পেঁয়াজ - আমদানিকৃত,32.00-50.00,32,50,41
1/7/1443,02-02-2022,85.99,মেহেরপুর সদর,পেঁয়াজ - আমদানিকৃত,25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,নড়াইল সদর,পেঁয়াজ - আমদানিকৃত,32.00-36.00,32,36,34
1/7/1443,02-02-2022,85.99,সাতক্ষিরা সদর,পেঁয়াজ - আমদানিকৃত,44.00-46.00,44,46,45
1/7/1443,02-02-2022,85.99,পাবনা সদর,পেঁয়াজ - আমদানিকৃত,48.00-50.00,48,50,49
1/7/1443,02-02-2022,85.99,পঞ্চগ্রাম সদর,পেঁয়াজ - আমদানিকৃত,25.00-30.00,25,30,27.5
1/7/1443,02-02-2022,85.99,রাজশাহী সদর,পেঁয়াজ - আমদানিকৃত,48.00-50.00,48,50,49
1/7/1443,02-02-2022,85.99,সিরাজগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,40.00-45.00,40,45,42.5
1/7/1443,02-02-2022,85.99,বরগুনা সদর,পেঁয়াজ - আমদানিকৃত,36.00-38.00,36,38,37
1/7/1443,02-02-2022,85.99,পিরোজপুর সদর,পেঁয়াজ - আমদানিকৃত,47.00-50.00,47,50,48.5
1/7/1443,02-02-2022,85.99,বান্দরবান সদর,পেঁয়াজ - আমদানিকৃত,46.00-48.00,46,48,47
1/7/1443,02-02-2022,85.99,ব্রাহ্মণবাড়িয়া সদর,পেঁয়াজ - আমদানিকৃত,34.00-35.00,34,35,34.5
1/7/1443,02-02-2022,85.99,চট্টগ্রাম সদর,পেঁয়াজ - আমদানিকৃত,48.00-50.00,48,50,49
1/7/1443,02-02-2022,85.99,ফেনী সদর,পেঁয়াজ - আমদানিকৃত,28.00-30.00,28,30,29
1/7/1443,02-02-2022,85.99,রাঙ্গামাটি সদর,পেঁয়াজ - আমদানিকৃত,26.00-28.00,26,28,27
1/7/1443,02-02-2022,85.99,হবিগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,44.00-45.00,44,45,44.5
1/7/1443,02-02-2022,85.99,সুনামগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,35.00-40.00,35,40,37.5
23/6/1443,26-01-2022,85.97,ঢাকা সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,শেরপুর সদর,পেঁয়াজ (নতুন),22.00-25.00,22,25,23.5
23/6/1443,26-01-2022,85.97,নরসিংদী সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,মানিকগঞ্জ সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,জামালপুর সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35,32.5
23/6/1443,26-01-2022,85.97,কিশোরগঞ্জ সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
23/6/1443,26-01-2022,85.97,মাদারিপুর সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
23/6/1443,26-01-2022,85.97,শরিয়তপুর সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,বাগেরহাট সদর,পেঁয়াজ (নতুন),35.00-36.00,35,36,35.5
23/6/1443,26-01-2022,85.97,যশোর সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
23/6/1443,26-01-2022,85.97,কুষ্টিয়া সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35,32.5
23/6/1443,26-01-2022,85.97,বগুড়া সদর,পেঁয়াজ (নতুন),29.00-30.00,29,30,29.5
23/6/1443,26-01-2022,85.97,কুড়িগ্রাম সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,লালমনিরহাট সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,নাটোর সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,নীলফামারী সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,বরগুনা সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,বরিশাল সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,ঝালকাঠি সদর,পেঁয়াজ (নতুন),24.00-25.00,24,25,24.5
23/6/1443,26-01-2022,85.97,পটুয়াখালি সদর,পেঁয়াজ (নতুন),36.00-38.00,36,38,37
23/6/1443,26-01-2022,85.97,চট্টগ্রাম সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40,37.5
23/6/1443,26-01-2022,85.97,কক্সবাজার সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,ফেনী সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35,32.5
23/6/1443,26-01-2022,85.97,খাগড়াছড়ি সদর,পেঁয়াজ (নতুন),26.00-28.00,26,28,27
23/6/1443,26-01-2022,85.97,লক্ষ্মীপুর সদর,পেঁয়াজ (নতুন),28.00-32.00,28,32,30
23/6/1443,26-01-2022,85.97,হবিগঞ্জ সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30,27.5
23/6/1443,26-01-2022,85.97,সুনামগঞ্জ সদর,পেঁয়াজ (নতুন),28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,গাজীপুর সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,ময়মনসিংহ সদর,পেঁয়াজ - দেশী,40.00-42.00,40,42,41
23/6/1443,26-01-2022,85.97,নেত্রকোনা সদর,পেঁয়াজ - দেশী,28.00-30.00,28,30,29
23/6/1443,26-01-2022,85.97,ফরিদপুর সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,রাজবাড়ী সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40,39
23/6/1443,26-01-2022,85.97,গোপালগঞ্জ সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,নারায়ণগঞ্জ সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
23/6/1443,26-01-2022,85.97,চুয়াডাঙ্গা সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
23/6/1443,26-01-2022,85.97,খুলনা সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
23/6/1443,26-01-2022,85.97,মেহেরপুর সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,নড়াইল সদর,পেঁয়াজ - দেশী,36.00-40.00,36,40,38
23/6/1443,26-01-2022,85.97,সাতক্ষিরা সদর,পেঁয়াজ - দেশী,36.00-40.00,36,40,38
23/6/1443,26-01-2022,85.97,দিনাজপুর সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,গাইবান্ধা সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
23/6/1443,26-01-2022,85.97,জয়পুরহাট সদর,পেঁয়াজ - দেশী,33.00-35.00,33,35,34
23/6/1443,26-01-2022,85.97,নওগাঁ সদর,পেঁয়াজ - দেশী,25.00-30.00,25,30,27.5
23/6/1443,26-01-2022,85.97,নবাবগঞ্জ সদর,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,পঞ্চগ্রাম সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
23/6/1443,26-01-2022,85.97,রংপুর মিউনিসিপ্যালিটি মার্কেট,পেঁয়াজ - দেশী,30.00-32.00,30,32,31
23/6/1443,26-01-2022,85.97,সিরাজগঞ্জ সদর,পেঁয়াজ - দেশী,30.00-33.00,30,33,31.5
23/6/1443,26-01-2022,85.97,ভোলা সদর,পেঁয়াজ - দেশী,28.00-32.00,28,32,30
23/6/1443,26-01-2022,85.97,পিরোজপুর সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35,32.5
